Roll,Name,Email,Branch
1401CE26,Arushi,Arushi@mycollege.in,CE
1401CE27,Ishan,Ishan@mycollege.in,CE
1401CE28,Garima,Garima@mycollege.in,CE
1401CE29,Manish,Manish@mycollege.in,CE
1401CE30,Vaishnavi,Vaishnavi@mycollege.in,CE
1401CE31,Shreyansh,Shreyansh@mycollege.in,CE
1401CE32,Atul,Atul@mycollege.in,CE
1401CE33,Sarvesh,Sarvesh@mycollege.in,CE
1401CE34,Vidya,Vidya@mycollege.in,CE
1401CE35,Shubhangi,Shubhangi@mycollege.in,CE
1401CE36,Mohsin,Mohsin@mycollege.in,CE
1401CE37,Saran,Saran@mycollege.in,CE
1401CE38,Vikash,Vikash@mycollege.in,CE
1401CE39,Aayush,Aayush@mycollege.in,CE
1401CE40,Akhilesh,Akhilesh@mycollege.in,CE
1401CE41,Nitin,Nitin@mycollege.in,CE
1401CE42,Himani,Himani@mycollege.in,CE
1401CE43,Sushil,Sushil@mycollege.in,CE
1401CE44,Vartika,Vartika@mycollege.in,CE
1401CE45,Aviral,Aviral@mycollege.in,CE
1401CE46,Abdul,Abdul@mycollege.in,CE
1401CE47,Sumeet,Sumeet@mycollege.in,CE
1401CE48,Prerna,Prerna@mycollege.in,CE
1401CE49,Nupur,Nupur@mycollege.in,CE
1401CE50,Neha,Neha@mycollege.in,CE
1401CE51,Vikas,Vikas@mycollege.in,CE
1401CE52,Vanshika,Vanshika@mycollege.in,CE
1401CE53,Rohan,Rohan@mycollege.in,CE
1401CE54,Shivansh,Shivansh@mycollege.in,CE
1401CE55,Sunil,Sunil@mycollege.in,CE
1401CE56,Juhi,Juhi@mycollege.in,CE
1401EC01,Sania,Sania@mycollege.in,EC
1401EC02,Sangeeta,Sangeeta@mycollege.in,EC
1401EC03,Nimish,Nimish@mycollege.in,EC
1401EC04,Nimesh,Nimesh@mycollege.in,EC
1401EC05,Prabhakar,Prabhakar@mycollege.in,EC
1401EC06,Nivedita,Nivedita@mycollege.in,EC
1401EC07,Neetika,Neetika@mycollege.in,EC
1401EC08,Monu,Monu@mycollege.in,EC
1401EC09,Pankhuri,Pankhuri@mycollege.in,EC
1401EC10,Nilesh,Nilesh@mycollege.in,EC
1401EC11,Mallika,Mallika@mycollege.in,EC
1401EC12,Mahima,Mahima@mycollege.in,EC
1401EC13,Mehak,Mehak@mycollege.in,EC
1401EC14,Manshi,Manshi@mycollege.in,EC
