Roll,Name,Email,Branch
1401MM52,Anunay,Anunay@mycollege.in,MM
1401MM53,Vidit,Vidit@mycollege.in,MM
1401MM54,Shwetanshi,Shwetanshi@mycollege.in,MM
1401MM55,Anshit,Anshit@mycollege.in,MM
1401MM56,Anubhuti,Anubhuti@mycollege.in,MM
1401MM57,Vashif,Vashif@mycollege.in,MM
1401MM58,Jahangeer,Jahangeer@mycollege.in,MM
1401MM59,Sharanya,Sharanya@mycollege.in,MM
1401MM60,Saudamini,Saudamini@mycollege.in,MM
1401MM61,Arshad,Arshad@mycollege.in,MM
1401MM62,Yeram,Yeram@mycollege.in,MM
1401MM63,Asad,Asad@mycollege.in,MM
1401MM64,Asthana,Asthana@mycollege.in,MM
1401MM65,Asmita,Asmita@mycollege.in,MM
1401MM66,Ashal,Ashal@mycollege.in,MM
1401MM67,Zeal,Zeal@mycollege.in,MM
1401MM68,Areeb,Areeb@mycollege.in,MM
1401MM69,Archita,Archita@mycollege.in,MM
1401MM70,Archi,Archi@mycollege.in,MM
1401MM71,Arish,Arish@mycollege.in,MM
1401MM72,Shyamali,Shyamali@mycollege.in,MM
1401MM73,Sejal,Sejal@mycollege.in,MM
1401MM74,Shaileja,Shaileja@mycollege.in,MM
1401MM75,Gitanshu,Gitanshu@mycollege.in,MM
1401MM76,Mansoon,Mansoon@mycollege.in,MM
1401MM77,Akshaya,Akshaya@mycollege.in,MM
1401MM78,Madhusri,Madhusri@mycollege.in,MM
1401MM79,Meet,Meet@mycollege.in,MM
1401MM80,Prajeeth,Prajeeth@mycollege.in,MM
1401MM81,Gyanvi,Gyanvi@mycollege.in,MM
1401MM82,Govindam,Govindam@mycollege.in,MM
1401MT01,Mairaz,Mairaz@mycollege.in,MT
1401MT02,Abhilasha,Abhilasha@mycollege.in,MT
1401MT03,Mritunjay,Mritunjay@mycollege.in,MT
1401MT04,Mudit,Mudit@mycollege.in,MT
1401MT05,Mubasshira,Mubasshira@mycollege.in,MT
1401MT06,Goldy,Goldy@mycollege.in,MT
1401MT07,Monish,Monish@mycollege.in,MT
1401MT08,Moosvi,Moosvi@mycollege.in,MT
1401MT09,Fariya,Fariya@mycollege.in,MT
1401MT10,Toshit,Toshit@mycollege.in,MT
1401MT11,Kanha,Kanha@mycollege.in,MT
1401MT12,Khalid,Khalid@mycollege.in,MT
1401MT13,Kaushiki,Kaushiki@mycollege.in,MT
1401MT14,Elamathi,Elamathi@mycollege.in,MT
1401MT15,Vasundhara,Vasundhara@mycollege.in,MT
