Roll,Name,Email,Branch
1401MT62,Prasun,Prasun@mycollege.in,MT
1401MT63,Prakharendra,Prakharendra@mycollege.in,MT
1401MT64,Priyamvada,Priyamvada@mycollege.in,MT
1401MT65,Rajneesh,Rajneesh@mycollege.in,MT
1401MT66,Kausar,Kausar@mycollege.in,MT
1401MT67,Rouby,Rouby@mycollege.in,MT
1401MT68,Sanket,Sanket@mycollege.in,MT
1401MT69,Hari,Hari@mycollege.in,MT
1401MT70,Saumile,Saumile@mycollege.in,MT
1401MT71,Shagufta,Shagufta@mycollege.in,MT
1401MT72,Shaad,Shaad@mycollege.in,MT
1401MT73,Rupali,Rupali@mycollege.in,MT
1401MT74,Jenamani,Jenamani@mycollege.in,MT
1401MT75,Sadiya,Sadiya@mycollege.in,MT
1401MT76,Saksham,Saksham@mycollege.in,MT
1401MT77,Saharsh,Saharsh@mycollege.in,MT
1401MT78,Kushan,Kushan@mycollege.in,MT
1401MC01,Indra,Indra@mycollege.in,MC
1401MC02,Sasi,Sasi@mycollege.in,MC
1401MC03,Arvind,Arvind@mycollege.in,MC
1401MC04,Kartik,Kartik@mycollege.in,MC
1401MC05,Kartikeya,Kartikeya@mycollege.in,MC
1401MC06,Chaitanya,Chaitanya@mycollege.in,MC
1401MC07,Mani,Mani@mycollege.in,MC
1401MC08,Sukirti,Sukirti@mycollege.in,MC
1401MC09,Subodh,Subodh@mycollege.in,MC
1401MC10,Surendra,Surendra@mycollege.in,MC
1401MC11,Ashok,Ashok@mycollege.in,MC
1401MC12,Suresh,Suresh@mycollege.in,MC
1401MC13,Karthikeya,Karthikeya@mycollege.in,MC
1401MC14,Lalit,Lalit@mycollege.in,MC
1401MC15,Urmila,Urmila@mycollege.in,MC
1401MC16,Sudhakar,Sudhakar@mycollege.in,MC
1401MC17,Dhruva,Dhruva@mycollege.in,MC
1401MC18,Dhananjay,Dhananjay@mycollege.in,MC
1401MC19,Rama,Rama@mycollege.in,MC
1401MC20,Raj,Raj@mycollege.in,MC
1401MC21,Chinmay,Chinmay@mycollege.in,MC
1401MC22,Chahat,Chahat@mycollege.in,MC
1401MC23,Sourav,Sourav@mycollege.in,MC
1401MC24,Desh,Desh@mycollege.in,MC
1401MC25,Raashi,Raashi@mycollege.in,MC
1401MC26,Ram,Ram@mycollege.in,MC
1401MC27,Laxmi,Laxmi@mycollege.in,MC
1401MC28,Krishan,Krishan@mycollege.in,MC
1401MC29,Yatharth,Yatharth@mycollege.in,MC
